Type	Uid	Gid	Mode	MTime	CTime	Meta	Version	Chattr	Acl	DefaultAcl	Selinux	Capabilities	Size	MD5	SHA1	SHA256	SHA512
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227042	-------------e-			system_u:object_r:bin_t:s0		1395661792 1397647514 106488	0b4a9035b94d823d7899cc78cd9bd8d4	ac02461ed8efaaa656586ba70ee4a29ed1c554a4	e9e8265576a79bf095fd3a937f536538e312d241ebef4bd264345d0cf1385430	bdbdc3a4f8b695999dd7f5ba23dde7fb403213e793233dfeafb23457ee049ee06fcb851f44f427f83474f8680842942b0870d5dbcd95b7ee0136e6c567534839
/bin/grep																	
l	0	0	777			tar					system_u:object_r:bin_t:s0		1397647637 1397647637 3	db5570bf61464b46e2bde31ed61a7dc6	680254bad1d7ca0d65ec46aaa315d363abf6a50a	90aebae315675cbf04612de4f7d5874850f48e0b8dd82becbeaa47ca93f5ebfb	5aa4cad81553320574eb72ee92bd45a1f0575528e257749dff298b2a33df9e7fc7f5c1c87fc1c8fde230f1234cca3a99bf8625a0ff7bb3238eb7e5473f9b43c0
/bin/gtar																	
f	0	0	755			POSIX shell script text executable\012- a /bin/sh script text executable	2003227747	-------------e-			system_u:object_r:bin_t:s0		1369642892 1397647516 61	c89e3fab7d9bcbafe522a3e40f7e16a8	facad7b405fd4ec073b274a228bc1fa029206f2e	58940d445f1855b9386fe21545b2d727ce79f9a5b1af9509166e16b9df89b018	915d755d132dac6c4eaaa48e16593e1403f0c2d92210c7405ebf602cf49da2011600cc62aeaf1dbf55dd3fe77446857622d717a36cc993329a1db2f0d3fb176b
/bin/gunzip																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227748	-------------e-			system_u:object_r:bin_t:s0		1369642892 1397647516 64624	9c69306ff8dbf1641f8bca775f823ae0	7739b26ff5981deebd5da390e16af5403493f251	99c046b4f494212ff6127981c091041859e4233a743d08b834f654e8f5ae6f64	40b8bb23b6b2acd8afe87b6880f8b06de344973559565f9388d5871ff31b147950cfecf590792a4abb7fa64157ff102045b4461acea68d004e8c56cd9243f3c0
/bin/gzip																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003230344	-------------e-			system_u:object_r:hostname_exec_t:s0		1336637853 1397647626 13712	b2d2ba9127a60891539764ab8386ab77	6de5e3b5cc0f6207646dd5b5518a9af815513ebf	4bd370281a38752a3f1dc1ce3f2f92a9c056657475d56c77a8ce133847e2a496	a19d017b7fcf794218ee2998f20823ad63a90d27202c194f7a86e48ec88570129a02613b3cd24476ec0e3013d4aa2368da52597f3a2843f8fb37cd9052bd5594
/bin/hostname																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003232786	-------------e-			system_u:object_r:bin_t:s0		1392893057 1397647635 10920	cf838dd0d060b7cb4ca5229a7adc63ad	3f7b0ba9d4844612dabf55e2d5e0251538edfb87	2a1df72c0f9db81d8f55f59320180715cda1042535c7a42512351c2e4d9bc0da	06b1f438e54812519171947dc645c06e79ee7bda1d4bdea825a6e64cd86265f7c2cd4188d140b75e562507a6af7bf91be27af30a2e234160288a1c8f904fd57d
/bin/ipcalc																	
l	0	0	777			/etc/alternatives/bin-iptables-xml.x86_64					unconfined_u:object_r:bin_t:s0		1397647634 1397647634 41	a03adcef32359b565f0917ddb3e7ec54	a3102918b71d63476d275f803ed1f3ac5da4dcad	37f3e86997bcb8a7d301dbfca00d2551ab1c6903d20569cb17791cd8d0466856	7092c44d29730ce80218641162c47e630a6276ecd0e47e55e255804ec29f6ef2409ce19458dfa747f907dfa8e25c9de3a9d8f5d2ffeabe3288d44c4211eecf09
/bin/iptables-xml																	
l	0	0	777			/sbin/iptables-multi					system_u:object_r:bin_t:s0		1397647634 1397647634 20	a40510ff6e47764d97a27df1c93be4ee	ab23baf6a996fa80916588ac3509d7ec6a64d42b	32627e02873304d8e3e21cf85c82ad0ca11a5fe04f7dc1f2248d3497768a69f8	3f73aa83d50d5477be741b45b5bb1a8f3e8f370098973c903d9216bf2a00a812cea10e19f6aee7e994a196bee9bb5ae2ebeec3212db4a55165b05c07b5f76fcf
/bin/iptables-xml-1.4.7																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003233255	-------------e-			system_u:object_r:bin_t:s0		1289508340 1397647636 7920	1b2cc51e06ee0030660d14c407eb8dff	3d13ff6346dd2671ea3c5d46ba74b1a98e48e62a	f357b74873fbc033cf5b7b60a2032559ed1ee2850622de4ae3461f55993ffed1	0a715efdd1a50e06cf93f57b11151c19777dde34f227def992a5ca0cae7d9055696c7de7b5c38b6dd55dd8bfa939ec3722ebd8ff518f3e1fa52b68d72dd68be6
/bin/kbd_mode																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003232544	-------------e-			system_u:object_r:bin_t:s0		1385134181 1397647634 11576	8791d594cb9ec14fd0412a4618ce625f	d16acc5a87b62123e19a609fcf7a4065082858fd	f0b1200b9847261cafbd697bbe4a54c0ca28228fbe0a0aab72b4169cc940c5d8	2ceca32241da4fb8aa8f2db15f6511d6c2e2da15a53ebcb9ecc0c7bc4ea77c277463a6689427770926349237d24ac8817bde9c6264ea574e7f85204321480eee
/bin/kill																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227874	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 23720	7b65c46dd8bd745cf0954b420d4fdc25	f5d89903869b9621e62b68aa74daed0f46666c1f	4e32a28355965855f5bf30da9449bc192c8e9f567f208777578c948906913e96	5c4d8fcd9111dbe078acc0f97be0bdb8d73691cd3e937b60f82edb1c967b326702998df53371510c7664746978fad1c882cc52e84064c04eaa9ba80a3f1b082f
/bin/link																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227875	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 45664	416144125083109bbec8336ba4c0a053	7d2042f5888be640f3ca1bdb814623c03f1973c3	762eb009f4e2fe24a339bb0f7b183ccf54cf5ee5fb3478ee4d461790d13e99f2	f414b649564d99d8cb0f5299c62542e521cb29a39cbea9745838270943bac309d4d52d04a3e8de36f2fc6766bbc8cf8d81550dfb8f6b13d3475d12a47b95fe54
/bin/ln																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003233256	-------------e-			system_u:object_r:loadkeys_exec_t:s0		1289508340 1397647636 108248	cb80cfa4826800e4a6755aac93453e8e	a0c690d79e69dfd110ba8dfd0613e8e688acab24	cb9406e295088ba507fe06f0cff7bc7a6e990188b900b72539a233f2b99254c5	2736bcd530bea9f71f3b0f4020a159c328e41a82ccb26bf44f9c57c64e16950ec5c6e3adf95eca9f2fe626b799693f5570aae399a904bd6993e3e1a86a9dcf75
/bin/loadkeys																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003232545	-------------e-			system_u:object_r:bin_t:s0		1385134181 1397647634 11608	8823c46c7ef835044a01858823d8e3b6	71337f7491d051ef7d94ce0754388d9da38c7337	e96b0e9089f380060aa473e5efbbde99d13ca4daffa53817430c3793f6eb53b9	97c3682d2e295b8b9e0258091ba0edd593921089a9558fdda49f5c58713cba745b88cfba27a177d1ce516d42151d7a5f1f42614afda4fbc0251fc52a6b58b7e2
/bin/logger																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003232546	-------------e-			system_u:object_r:login_exec_t:s0		1385134181 1397647634 25160	15eb19013fec9fa10cb11a719a010bc7	47458c25c9da05e3ee9d429c4f75f0a2841e1a40	c4d9abdcbd53638a06ee492c32962c901b260e96869c21f809bada67843059da	5f8a5034cec2ce7d7a8ce6eca623e9acdd2f03b7867b61d37cf3d5a697e9b86caa430ee0caaa62f0102e8d2d0f1583ab302ac1e4f3dc73839944f56479f35417
/bin/login																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227876	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 109208	1183c442a1ccd3291a84307761ab2a84	7cf68808adee669f197039d2fbfbbf4cae79c4ed	d49a4f5f967d0b4a3b03f6d7843610be2794c9385587957f998cc82cc84e6573	05e44f7aa37f801801014717e0f6853c7e952c05c4213f71b2d869ef8436bec6b611e4960d53a6c35f54b971004365b3f05e7afc9c2767639b080765b2dd7a0b
/bin/ls																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003232547	-------------e-			system_u:object_r:bin_t:s0		1385134181 1397647634 54792	1f24694e89d313d9c371c5364e387997	1a5def69c891d5f330cdc40ffe4360120527b81a	d973c7aa17277691d96de432d719052ade21fdc3a30ae8f908fb4a651daf2fdc	782c699f49fc28d8bb3caf6a6ef0b9b3f9dc8635c799b3638930b6e5f5452fba0fcfaf233d26ca9e58928c5ebd27d3ae2cc05d8c60481ad09fd2de70b48dfa0d
/bin/lsblk																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227877	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 44744	292bbbf29bdb76b0149d7ca1640817f9	6ed73dd61fe3f0212acc6db79de6cb829cecf1a4	40e012e0a7dda93af4ac23d09059fe3d581f0b423202447a60b768b628de3764	b1244145aae21e7e3577f08867010ea65526ef070828b463ffee4862eabad309b13675fdde2b3335b68241103c9d9ea7df5c37c23a9e6f7bdc64a8fa82563de8
/bin/mkdir																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227878	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 27944	e2e2727e11f1d2b6766f31f7569d7b54	cc9682f284b07c2b3dfd60f79867d8cb621345af	b286f0dd4fd515ab8bd419db60fa04c3b4fe1e4c4ebcf8737a7419b237fdc504	af3668d7d24f69563d292a2297705473428fe839b42df812886ea5b4b0c297277fd0daf1fae7309dce8b4bd5216e468f3ea9023ad31814a1a1626aff7439ce6d
/bin/mknod																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227879	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 33544	0f56cc741516f3a8a2c645c7694b1dc5	6785c94255ed0c19cf1685bcf9b4f6edc35f911d	9d21a14056c4335d89faec332d283bf519e26de8f92660ca90fc68ae87231f92	62d7ea5a8f9935ca0f466083db67460d3f947b69a27cdb10489b5e03503034ac447bd6dd4706481dedcb5aad8b81a54bafab76f3642f92e1444dcce19ed138c8
/bin/mktemp																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003232548	-------------e-			system_u:object_r:bin_t:s0		1385134181 1397647634 35928	7918f80774720c1ad5e28ed67c7ac892	c62320badf8fd8c4a3fc7076b44ec75d6f002981	e2a9b50f8ebe228f001153ed961e25bbaf37adbdad9acc6cc27dc7897efa8f88	7fbc5ad4c43edf0837c15ddbec9152c5aed0acf49fbecc418dcc63cc96dfb980ddad372a3670ee9d8bf46dae337ae31de99cfa16700f0e8e114ae563fd68d28b
/bin/more																	
f	0	0	4755			setuid ELF 64-bit LSB shared object, x86-64, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.18, stripped	2003232549	-------------e-			system_u:object_r:mount_exec_t:s0		1385134178 1397647634 77336	1f42fd936b3c8647ba6ab872673f94b0	3ab4f81a0ea162308c9f2adbfbae0f21d18c3dab	54af88e32015b6c8a8058238c535c0c3f643dff2a8f9f628dd249db77ac6f607	1994e5f95c116053359ffb53609328c0724d9a5612e4c8f8025c80b3ca083efc0207b316eadeed4c5708892df1396777b73ca61381d5c1de3cbc2e40b87654bf
/bin/mount																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003229397	-------------e-			system_u:object_r:bin_t:s0		1372449230 1397647617 6728	0dff2fa2bfbb668330e79dcd70f424eb	9f2e8569cb8947490f9d49b3d5f7180838197220	7901343275d6a34839190888d14d1fb50f5341c507b8b66f842a1eae83c8b76c	93f37d96f944243c319005f3e896aa16d614e42525871a34e20413aab0e81e0b76b2f8788598e356f088bb7b8b62c973ef097dc3561e6a8bfa18f49c195fc456
/bin/mountpoint																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227880	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 106912	ea5d96264b2247837b2dc792dc330715	ba1f1fdb49652d8409f7ee3fe9d216e8b14cb69c	b2aac80006c5c7d42e267d95f54ec13cf88a0545780d0f6ca68114442c981875	77a92aa5584f18e7f1a681f363062ee0088b94bb478fd0dd3be4f276e174b37e0af923f08eec12498f2bebb92ec10df0d01ba039f94f5a99b320d8fb7d27ac9d
/bin/mv																	
